source,target,relation,similarity
"""评估单元""","""数据预处理""","""遥感生态参数和生态功能分区都是通过数据预处理从遥感数据和其他辅助信息中提取的，共同用于生态系统质量评估。""",0.8230688571929932
"""评估单元""","""规划单元""","""运算过程生成规划单元的被选中次数，决定其保护优先级。""",0.7991138696670532
"""生态环境状况评价技术规范""","""全国生态状况调查评估技术规范""","""该标准包含全国生态状况调查评估的技术规范内容。""",0.9510494470596313
"""生态环境状况评价技术规范""","""生态系统质量评估""","""HJ 1172—2021标准具体规定了生态系统质量评估的技术流程和方法。""",0.8608577251434326
"""HJ 192""","""HJ 1172—2021""","""环境标准研究所参与审校和排版HJ 1172—2021标准文本。""",0.7574175000190735
"""HJ 192""","""HJ 1170—2021""","""全国生态状况调查评估技术规范包含了HJ 1170—2021这一技术标准。""",0.755291223526001
"""灌丛生态系统""","""草地生态系统""",《全国生态状况调查评估技术规范》是由中国生态环境部发布的一项综合性技术标准体系，其中包含编号为HJ 1168—2021的专项标准。该标准作为技术规范系列的重要组成部分，专门针对草地生态系统的野外观测工作制定了详细的技术要求和操作指南。通过将宏观规范框架与具体生态系统观测标准相结合，这一技术规范体系为全国生态状况调查评估提供了系统化的方法论支撑，尤其强调了草地生态系统这一关键领域的标准化观测实践。,0.9646713137626648
"""灌丛生态系统""","""生态功能区""","""生态系统质量评估在生态功能区内进行分区评估，以生态功能区为基本单位。""",0.8559313416481018
"""阔叶灌丛""","""稀疏草地""","""稀疏草地属于草地生态系统的子类。""
""稀疏草地是草地生态系统的一个子类型。""",0.9549671411514282
"""阔叶灌丛""","""草丛""","""草丛属于草地生态系统的子类。""
""草丛是草地生态系统的一个子类型。""",0.9378844499588013
"""针叶灌丛""","""阔叶灌丛""","""阔叶灌丛是灌丛生态系统的一个子类型。""
""阔叶灌丛属于灌丛生态系统的子类。""",0.9745186567306519
"""针叶灌丛""","""稀疏灌丛""","""稀疏灌丛属于灌丛生态系统的子类。""
""稀疏灌丛是灌丛生态系统的一个子类型。""",0.9150401949882507
"""草地生态系统""","""灌丛生态系统""","""阔叶灌丛是灌丛生态系统的一个子类型。""
""阔叶灌丛属于灌丛生态系统的子类。""",0.9646713137626648
"""草地生态系统""","""荒漠生态系统""","""沙漠是荒漠生态系统的一个子类型。""
""沙漠属于荒漠生态系统的子类。""",0.8326537609100342
"""草原""","""稀疏草地""","""稀疏草地属于草地生态系统的子类。""
""稀疏草地是草地生态系统的一个子类型。""",0.9341685771942139
